T08,Public expenditure on education (new),,,,
398,Kazakhstan,2018,Public expenditure on education (% of GDP),2.751,
404,Kenya,2004,Expenditure by level of education: pre-primary (as % of government expenditure),1.5631,
404,Kenya,2004,Expenditure by level of education: primary (as % of government expenditure),62.1175,
404,Kenya,2004,Expenditure by level of education: secondary (as % of government expenditure),23.4095,
404,Kenya,2004,Expenditure by level of education: tertiary (as % of government expenditure),12.9098,
404,Kenya,2004,Government expenditure on education (% of government expenditure),26.6682,
404,Kenya,2004,Public expenditure on education (% of GDP),6.7969,
404,Kenya,2005,Government expenditure on education (% of government expenditure),27.4693,
404,Kenya,2005,Public expenditure on education (% of GDP),7.3357,
404,Kenya,2006,Expenditure by level of education: pre-primary (as % of government expenditure),0.0506,
404,Kenya,2006,Expenditure by level of education: primary (as % of government expenditure),54.1088,
404,Kenya,2006,Expenditure by level of education: secondary (as % of government expenditure),21.6778,
404,Kenya,2006,Expenditure by level of education: tertiary (as % of government expenditure),15.4175,
404,Kenya,2006,Government expenditure on education (% of government expenditure),25.0814,
404,Kenya,2006,Public expenditure on education (% of GDP),7.0498,
404,Kenya,2010,Government expenditure on education (% of government expenditure),20.556,
404,Kenya,2010,Public expenditure on education (% of GDP),5.5082,
404,Kenya,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.6274,
404,Kenya,2015,All staff compensation as % of total expenditure in public institutions (%),60.9093,
404,Kenya,2015,Capital expenditure as % of total expenditure in public institutions (%),7.4633,
404,Kenya,2015,Expenditure by level of education: pre-primary (as % of government expenditure),1.7815,
404,Kenya,2015,Expenditure by level of education: primary (as % of government expenditure),36.3389,
404,Kenya,2015,Expenditure by level of education: secondary (as % of government expenditure),41.7637,
404,Kenya,2015,Expenditure by level of education: tertiary (as % of government expenditure),13.074,
404,Kenya,2015,Government expenditure on education (% of government expenditure),16.6647,
404,Kenya,2015,Public expenditure on education (% of GDP),5.2713,
404,Kenya,2018,Government expenditure on education (% of government expenditure),19.104,Estimate.
404,Kenya,2018,Public expenditure on education (% of GDP),5.3202,Estimate.
296,Kiribati,2001,Expenditure by level of education: primary (as % of government expenditure),34.3345,
296,Kiribati,2001,Government expenditure on education (% of government expenditure),11.5161,
296,Kiribati,2001,Public expenditure on education (% of GDP),11.9881,
414,Kuwait,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.3976,
414,Kuwait,2005,All staff compensation as % of total expenditure in public institutions (%),74.8675,
414,Kuwait,2005,Capital expenditure as % of total expenditure in public institutions (%),7.7349,
414,Kuwait,2005,Expenditure by level of education: pre-primary (as % of government expenditure),9.7831,
414,Kuwait,2005,Expenditure by level of education: primary (as % of government expenditure),19.8313,
414,Kuwait,2005,Expenditure by level of education: secondary (as % of government expenditure),36.2289,
414,Kuwait,2005,Expenditure by level of education: tertiary (as % of government expenditure),32.6024,
414,Kuwait,2005,Government expenditure on education (% of government expenditure),13.8541,
414,Kuwait,2005,Public expenditure on education (% of GDP),4.7383,
414,Kuwait,2006,Expenditure by level of education: pre-primary (as % of government expenditure),9.5813,Estimate.
414,Kuwait,2006,Expenditure by level of education: primary (as % of government expenditure),20.4152,Estimate.
414,Kuwait,2006,Expenditure by level of education: secondary (as % of government expenditure),36.2114,Estimate.
414,Kuwait,2006,Expenditure by level of education: tertiary (as % of government expenditure),32.6006,Estimate.
414,Kuwait,2006,Government expenditure on education (% of government expenditure),13.37,Estimate.
414,Kuwait,2006,Public expenditure on education (% of GDP),3.76,Estimate.
417,Kyrgyzstan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4412,
417,Kyrgyzstan,2005,All staff compensation as % of total expenditure in public institutions (%),66.1676,
417,Kyrgyzstan,2005,Capital expenditure as % of total expenditure in public institutions (%),5.3912,
417,Kyrgyzstan,2005,Expenditure by level of education: pre-primary (as % of government expenditure),6.1833,
417,Kyrgyzstan,2005,Expenditure by level of education: tertiary (as % of government expenditure),19.1824,
417,Kyrgyzstan,2005,Government expenditure on education (% of government expenditure),16.7684,
417,Kyrgyzstan,2005,Public expenditure on education (% of GDP),4.8738,
417,Kyrgyzstan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.078,
417,Kyrgyzstan,2010,All staff compensation as % of total expenditure in public institutions (%),64.4564,
417,Kyrgyzstan,2010,Capital expenditure as % of total expenditure in public institutions (%),6.4657,
417,Kyrgyzstan,2010,Expenditure by level of education: pre-primary (as % of government expenditure),8.0955,
417,Kyrgyzstan,2010,Expenditure by level of education: tertiary (as % of government expenditure),15.5168,
417,Kyrgyzstan,2010,Government expenditure on education (% of government expenditure),15.6813,
417,Kyrgyzstan,2010,Public expenditure on education (% of GDP),5.8188,
417,Kyrgyzstan,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.5666,
417,Kyrgyzstan,2014,All staff compensation as % of total expenditure in public institutions (%),69.101,
417,Kyrgyzstan,2014,Capital expenditure as % of total expenditure in public institutions (%),13.3324,
417,Kyrgyzstan,2014,Expenditure by level of education: pre-primary (as % of government expenditure),10.6633,
417,Kyrgyzstan,2014,Expenditure by level of education: tertiary (as % of government expenditure),4.6357,
417,Kyrgyzstan,2014,Government expenditure on education (% of government expenditure),14.1972,
417,Kyrgyzstan,2014,Public expenditure on education (% of GDP),5.5316,
417,Kyrgyzstan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2386,
417,Kyrgyzstan,2015,All staff compensation as % of total expenditure in public institutions (%),68.0801,
417,Kyrgyzstan,2015,Capital expenditure as % of total expenditure in public institutions (%),15.6813,
417,Kyrgyzstan,2015,Government expenditure on education (% of government expenditure),15.6386,
417,Kyrgyzstan,2015,Public expenditure on education (% of GDP),5.9855,
417,Kyrgyzstan,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.4159,
417,Kyrgyzstan,2017,All staff compensation as % of total expenditure in public institutions (%),70.6781,
417,Kyrgyzstan,2017,Capital expenditure as % of total expenditure in public institutions (%),14.906,
417,Kyrgyzstan,2017,Expenditure by level of education: pre-primary (as % of government expenditure),13.2166,
417,Kyrgyzstan,2017,Expenditure by level of education: tertiary (as % of government expenditure),3.0315,
417,Kyrgyzstan,2017,Government expenditure on education (% of government expenditure),15.7303,
417,Kyrgyzstan,2017,Public expenditure on education (% of GDP),6.0262,
418,Lao People's Dem. Rep.,2002,Expenditure by level of education: pre-primary (as % of government expenditure),1.8922,
418,Lao People's Dem. Rep.,2002,Expenditure by level of education: primary (as % of government expenditure),45.0337,
418,Lao People's Dem. Rep.,2002,Expenditure by level of education: secondary (as % of government expenditure),18.9966,
418,Lao People's Dem. Rep.,2002,Expenditure by level of education: tertiary (as % of government expenditure),12.629,
418,Lao People's Dem. Rep.,2002,Government expenditure on education (% of government expenditure),15.2627,
418,Lao People's Dem. Rep.,2002,Public expenditure on education (% of GDP),2.8252,
418,Lao People's Dem. Rep.,2005,Expenditure by level of education: pre-primary (as % of government expenditure),1.5546,
418,Lao People's Dem. Rep.,2005,Expenditure by level of education: primary (as % of government expenditure),62.5326,
418,Lao People's Dem. Rep.,2005,Government expenditure on education (% of government expenditure),14.1278,
418,Lao People's Dem. Rep.,2005,Public expenditure on education (% of GDP),2.4141,
418,Lao People's Dem. Rep.,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.6989,
418,Lao People's Dem. Rep.,2010,All staff compensation as % of total expenditure in public institutions (%),64.959,
418,Lao People's Dem. Rep.,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3422,
418,Lao People's Dem. Rep.,2010,Expenditure by level of education: pre-primary (as % of government expenditure),6.8272,
418,Lao People's Dem. Rep.,2010,Expenditure by level of education: primary (as % of government expenditure),46.4675,
418,Lao People's Dem. Rep.,2010,Expenditure by level of education: secondary (as % of government expenditure),29.8939,
418,Lao People's Dem. Rep.,2010,Expenditure by level of education: tertiary (as % of government expenditure),16.2207,
418,Lao People's Dem. Rep.,2010,Government expenditure on education (% of government expenditure),7.247,
418,Lao People's Dem. Rep.,2010,Public expenditure on education (% of GDP),1.7098,
418,Lao People's Dem. Rep.,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.3819,
418,Lao People's Dem. Rep.,2014,All staff compensation as % of total expenditure in public institutions (%),72.6433,
418,Lao People's Dem. Rep.,2014,Capital expenditure as % of total expenditure in public institutions (%),14.9748,
418,Lao People's Dem. Rep.,2014,Expenditure by level of education: pre-primary (as % of government expenditure),6.5526,
418,Lao People's Dem. Rep.,2014,Expenditure by level of education: primary (as % of government expenditure),40.6428,
418,Lao People's Dem. Rep.,2014,Expenditure by level of education: secondary (as % of government expenditure),38.5968,
418,Lao People's Dem. Rep.,2014,Expenditure by level of education: tertiary (as % of government expenditure),13.8123,
418,Lao People's Dem. Rep.,2014,Government expenditure on education (% of government expenditure),11.7574,
418,Lao People's Dem. Rep.,2014,Public expenditure on education (% of GDP),2.9378,
428,Latvia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.9497,
428,Latvia,2004,All staff compensation as % of total expenditure in public institutions (%),69.6719,
428,Latvia,2004,Capital expenditure as % of total expenditure in public institutions (%),8.3785,
428,Latvia,2004,Expenditure by level of education: pre-primary (as % of government expenditure),12.9708,
428,Latvia,2004,Expenditure by level of education: primary (as % of government expenditure),16.2865,
428,Latvia,2004,Expenditure by level of education: secondary (as % of government expenditure),56.4456,
428,Latvia,2004,Expenditure by level of education: tertiary (as % of government expenditure),13.4483,
428,Latvia,2004,Government expenditure on education (% of government expenditure),14.5018,
428,Latvia,2004,Public expenditure on education (% of GDP),4.8551,
428,Latvia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6008,
428,Latvia,2010,All staff compensation as % of total expenditure in public institutions (%),65.7204,
428,Latvia,2010,Capital expenditure as % of total expenditure in public institutions (%),12.6789,
428,Latvia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),16.8231,
428,Latvia,2010,Expenditure by level of education: primary (as % of government expenditure),28.489,
428,Latvia,2010,Expenditure by level of education: secondary (as % of government expenditure),38.3937,
428,Latvia,2010,Expenditure by level of education: tertiary (as % of government expenditure),15.8839,
428,Latvia,2010,Government expenditure on education (% of government expenditure),11.809,
428,Latvia,2010,Public expenditure on education (% of GDP),5.081,
428,Latvia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.8296,
428,Latvia,2015,All staff compensation as % of total expenditure in public institutions (%),60.5422,
428,Latvia,2015,Capital expenditure as % of total expenditure in public institutions (%),15.6282,
428,Latvia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),15.1195,
428,Latvia,2015,Expenditure by level of education: primary (as % of government expenditure),30.0877,
428,Latvia,2015,Expenditure by level of education: secondary (as % of government expenditure),31.3948,
428,Latvia,2015,Expenditure by level of education: tertiary (as % of government expenditure),22.0921,
428,Latvia,2015,Government expenditure on education (% of government expenditure),14.1274,
428,Latvia,2015,Public expenditure on education (% of GDP),5.3372,
428,Latvia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.3472,
428,Latvia,2016,All staff compensation as % of total expenditure in public institutions (%),65.3475,
428,Latvia,2016,Capital expenditure as % of total expenditure in public institutions (%),9.3052,
428,Latvia,2016,Expenditure by level of education: pre-primary (as % of government expenditure),17.0077,
428,Latvia,2016,Expenditure by level of education: primary (as % of government expenditure),32.0182,
428,Latvia,2016,Expenditure by level of education: secondary (as % of government expenditure),33.4047,
428,Latvia,2016,Expenditure by level of education: tertiary (as % of government expenditure),16.0412,
428,Latvia,2016,Government expenditure on education (% of government expenditure),12.8933,
428,Latvia,2016,Public expenditure on education (% of GDP),4.7196,
422,Lebanon,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.6102,
422,Lebanon,2005,All staff compensation as % of total expenditure in public institutions (%),94.7073,
422,Lebanon,2005,Capital expenditure as % of total expenditure in public institutions (%),3.6825,
422,Lebanon,2005,Expenditure by level of education: tertiary (as % of government expenditure),28.7626,
422,Lebanon,2005,Government expenditure on education (% of government expenditure),8.4213,
422,Lebanon,2005,Public expenditure on education (% of GDP),2.6471,
422,Lebanon,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.1037,
422,Lebanon,2010,All staff compensation as % of total expenditure in public institutions (%),87.9848,
422,Lebanon,2010,Capital expenditure as % of total expenditure in public institutions (%),11.9115,
422,Lebanon,2010,Expenditure by level of education: tertiary (as % of government expenditure),27.1923,
422,Lebanon,2010,Government expenditure on education (% of government expenditure),5.5343,
422,Lebanon,2010,Public expenditure on education (% of GDP),1.6143,
422,Lebanon,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.1025,
422,Lebanon,2011,All staff compensation as % of total expenditure in public institutions (%),86.8297,
422,Lebanon,2011,Capital expenditure as % of total expenditure in public institutions (%),13.0677,
422,Lebanon,2011,Expenditure by level of education: tertiary (as % of government expenditure),26.4942,
422,Lebanon,2011,Government expenditure on education (% of government expenditure),5.7338,
422,Lebanon,2011,Public expenditure on education (% of GDP),1.6464,
422,Lebanon,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.4221,
422,Lebanon,2013,All staff compensation as % of total expenditure in public institutions (%),97.5779,
422,Lebanon,2013,Expenditure by level of education: secondary (as % of government expenditure),17.0918,
422,Lebanon,2013,Expenditure by level of education: tertiary (as % of government expenditure),28.7415,
422,Lebanon,2013,Government expenditure on education (% of government expenditure),8.5755,
422,Lebanon,2013,Public expenditure on education (% of GDP),2.4347,
426,Lesotho,2001,Capital expenditure as % of total expenditure in public institutions (%),8.6575,
426,Lesotho,2001,Expenditure by level of education: primary (as % of government expenditure),53.2269,
426,Lesotho,2001,Expenditure by level of education: secondary (as % of government expenditure),23.7917,
426,Lesotho,2001,Expenditure by level of education: tertiary (as % of government expenditure),18.6383,
426,Lesotho,2001,Government expenditure on education (% of government expenditure),23.8489,
426,Lesotho,2001,Public expenditure on education (% of GDP),9.3651,
426,Lesotho,2005,Expenditure by level of education: primary (as % of government expenditure),43.0362,Estimate.
426,Lesotho,2005,Expenditure by level of education: secondary (as % of government expenditure),18.272,Estimate.
426,Lesotho,2005,Expenditure by level of education: tertiary (as % of government expenditure),36.4439,Estimate.
426,Lesotho,2005,Government expenditure on education (% of government expenditure),32.4049,
426,Lesotho,2005,Public expenditure on education (% of GDP),12.0797,
426,Lesotho,2008,Capital expenditure as % of total expenditure in public institutions (%),1.7286,Estimate.
426,Lesotho,2008,Expenditure by level of education: pre-primary (as % of government expenditure),0.1447,
426,Lesotho,2008,Expenditure by level of education: primary (as % of government expenditure),35.9942,
426,Lesotho,2008,Expenditure by level of education: secondary (as % of government expenditure),20.52,
426,Lesotho,2008,Expenditure by level of education: tertiary (as % of government expenditure),36.3836,
426,Lesotho,2008,Government expenditure on education (% of government expenditure),24.6976,
426,Lesotho,2008,Public expenditure on education (% of GDP),12.0835,
426,Lesotho,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),3.6282,
426,Lesotho,2018,All staff compensation as % of total expenditure in public institutions (%),92.9006,
426,Lesotho,2018,Capital expenditure as % of total expenditure in public institutions (%),3.4712,
426,Lesotho,2018,Expenditure by level of education: pre-primary (as % of government expenditure),0.2357,
426,Lesotho,2018,Expenditure by level of education: primary (as % of government expenditure),55.9579,
426,Lesotho,2018,Expenditure by level of education: secondary (as % of government expenditure),30.0645,
426,Lesotho,2018,Expenditure by level of education: tertiary (as % of government expenditure),7.4078,
426,Lesotho,2018,Government expenditure on education (% of government expenditure),13.893,
426,Lesotho,2018,Public expenditure on education (% of GDP),6.5117,
430,Liberia,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),47.4012,
430,Liberia,2008,All staff compensation as % of total expenditure in public institutions (%),41.4004,
430,Liberia,2008,Capital expenditure as % of total expenditure in public institutions (%),11.1983,
430,Liberia,2008,Government expenditure on education (% of government expenditure),6.4541,
430,Liberia,2008,Public expenditure on education (% of GDP),1.7017,
430,Liberia,2012,Expenditure by level of education: primary (as % of government expenditure),30.722,
430,Liberia,2012,Expenditure by level of education: secondary (as % of government expenditure),34.4881,
430,Liberia,2012,Expenditure by level of education: tertiary (as % of government expenditure),31.5635,Estimate.
430,Liberia,2012,Government expenditure on education (% of government expenditure),5.1843,
430,Liberia,2012,Public expenditure on education (% of GDP),1.7771,
430,Liberia,2014,Government expenditure on education (% of government expenditure),6.8935,Estimate.
430,Liberia,2014,Public expenditure on education (% of GDP),2.2791,Estimate.
430,Liberia,2018,Expenditure by level of education: pre-primary (as % of government expenditure),23.2847,Estimate.
430,Liberia,2018,Expenditure by level of education: primary (as % of government expenditure),42.3878,Estimate.
430,Liberia,2018,Expenditure by level of education: secondary (as % of government expenditure),53.4442,Estimate.
430,Liberia,2018,Government expenditure on education (% of government expenditure),8.0627,Estimate.
430,Liberia,2018,Public expenditure on education (% of GDP),2.5841,Estimate.
438,Liechtenstein,2004,Expenditure by level of education: pre-primary (as % of government expenditure),6.4992,
438,Liechtenstein,2004,Expenditure by level of education: primary (as % of government expenditure),29.0016,
438,Liechtenstein,2004,Expenditure by level of education: secondary (as % of government expenditure),42.554,
438,Liechtenstein,2004,Expenditure by level of education: tertiary (as % of government expenditure),13.8867,
438,Liechtenstein,2004,Public expenditure on education (% of GDP),2.4333,
438,Liechtenstein,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.3099,
438,Liechtenstein,2007,All staff compensation as % of total expenditure in public institutions (%),80.6901,
438,Liechtenstein,2007,Expenditure by level of education: pre-primary (as % of government expenditure),6.9343,
438,Liechtenstein,2007,Expenditure by level of education: primary (as % of government expenditure),30.5683,
438,Liechtenstein,2007,Expenditure by level of education: secondary (as % of government expenditure),47.2487,
438,Liechtenstein,2007,Expenditure by level of education: tertiary (as % of government expenditure),9.0918,
438,Liechtenstein,2007,Public expenditure on education (% of GDP),1.9212,
438,Liechtenstein,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.2251,
438,Liechtenstein,2008,All staff compensation as % of total expenditure in public institutions (%),69.7749,
438,Liechtenstein,2008,Expenditure by level of education: pre-primary (as % of government expenditure),7.3136,
438,Liechtenstein,2008,Expenditure by level of education: primary (as % of government expenditure),31.065,
438,Liechtenstein,2008,Expenditure by level of education: secondary (as % of government expenditure),52.3861,
438,Liechtenstein,2008,Public expenditure on education (% of GDP),2.0484,
438,Liechtenstein,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.9294,
438,Liechtenstein,2010,All staff compensation as % of total expenditure in public institutions (%),68.4386,
438,Liechtenstein,2010,Capital expenditure as % of total expenditure in public institutions (%),12.632,
438,Liechtenstein,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.72,
438,Liechtenstein,2011,All staff compensation as % of total expenditure in public institutions (%),73.8773,
438,Liechtenstein,2011,Capital expenditure as % of total expenditure in public institutions (%),5.4027,
438,Liechtenstein,2011,Expenditure by level of education: pre-primary (as % of government expenditure),7.1395,
438,Liechtenstein,2011,Expenditure by level of education: primary (as % of government expenditure),38.6201,
438,Liechtenstein,2011,Expenditure by level of education: secondary (as % of government expenditure),47.4284,
438,Liechtenstein,2011,Public expenditure on education (% of GDP),2.556,
440,Lithuania,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1427,
440,Lithuania,2005,All staff compensation as % of total expenditure in public institutions (%),73.0137,
440,Lithuania,2005,Capital expenditure as % of total expenditure in public institutions (%),6.8435,
440,Lithuania,2005,Expenditure by level of education: pre-primary (as % of government expenditure),12.1159,
440,Lithuania,2005,Expenditure by level of education: primary (as % of government expenditure),14.9172,
440,Lithuania,2005,Expenditure by level of education: secondary (as % of government expenditure),50.5607,
440,Lithuania,2005,Expenditure by level of education: tertiary (as % of government expenditure),20.9942,
440,Lithuania,2005,Government expenditure on education (% of government expenditure),14.5796,
440,Lithuania,2005,Public expenditure on education (% of GDP),4.8732,
440,Lithuania,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.5209,
440,Lithuania,2010,All staff compensation as % of total expenditure in public institutions (%),72.8504,
440,Lithuania,2010,Capital expenditure as % of total expenditure in public institutions (%),7.6287,
440,Lithuania,2010,Expenditure by level of education: pre-primary (as % of government expenditure),12.9318,
440,Lithuania,2010,Expenditure by level of education: primary (as % of government expenditure),16.7139,
440,Lithuania,2010,Expenditure by level of education: secondary (as % of government expenditure),44.8594,
440,Lithuania,2010,Expenditure by level of education: tertiary (as % of government expenditure),23.5618,
440,Lithuania,2010,Government expenditure on education (% of government expenditure),12.8588,
440,Lithuania,2010,Public expenditure on education (% of GDP),5.299,
440,Lithuania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.0604,
440,Lithuania,2015,All staff compensation as % of total expenditure in public institutions (%),67.515,
440,Lithuania,2015,Capital expenditure as % of total expenditure in public institutions (%),12.4246,
440,Lithuania,2015,Expenditure by level of education: pre-primary (as % of government expenditure),13.3379,
440,Lithuania,2015,Expenditure by level of education: primary (as % of government expenditure),16.5483,
440,Lithuania,2015,Expenditure by level of education: secondary (as % of government expenditure),36.6706,
440,Lithuania,2015,Expenditure by level of education: tertiary (as % of government expenditure),27.8594,
440,Lithuania,2015,Government expenditure on education (% of government expenditure),12.2883,
440,Lithuania,2015,Public expenditure on education (% of GDP),4.2172,
440,Lithuania,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.048,
440,Lithuania,2016,All staff compensation as % of total expenditure in public institutions (%),72.0789,
440,Lithuania,2016,Capital expenditure as % of total expenditure in public institutions (%),6.8732,
440,Lithuania,2016,Expenditure by level of education: pre-primary (as % of government expenditure),15.6767,
440,Lithuania,2016,Expenditure by level of education: primary (as % of government expenditure),18.8941,
440,Lithuania,2016,Expenditure by level of education: secondary (as % of government expenditure),38.6269,
440,Lithuania,2016,Expenditure by level of education: tertiary (as % of government expenditure),20.5208,
440,Lithuania,2016,Government expenditure on education (% of government expenditure),12.0252,
440,Lithuania,2016,Public expenditure on education (% of GDP),4.0085,
442,Luxembourg,2001,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.2135,
442,Luxembourg,2001,All staff compensation as % of total expenditure in public institutions (%),71.2707,
442,Luxembourg,2001,Capital expenditure as % of total expenditure in public institutions (%),17.5159,
442,Luxembourg,2001,Government expenditure on education (% of government expenditure),9.3011,
442,Luxembourg,2001,Public expenditure on education (% of GDP),3.5558,
442,Luxembourg,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.1028,
442,Luxembourg,2015,All staff compensation as % of total expenditure in public institutions (%),76.0503,
442,Luxembourg,2015,Capital expenditure as % of total expenditure in public institutions (%),9.847,
442,Luxembourg,2015,Expenditure by level of education: pre-primary (as % of government expenditure),14.5382,
442,Luxembourg,2015,Expenditure by level of education: primary (as % of government expenditure),31.5985,
442,Luxembourg,2015,Expenditure by level of education: secondary (as % of government expenditure),40.7101,
442,Luxembourg,2015,Expenditure by level of education: tertiary (as % of government expenditure),13.1011,
442,Luxembourg,2015,Government expenditure on education (% of government expenditure),9.4372,
442,Luxembourg,2015,Public expenditure on education (% of GDP),3.9552,
450,Madagascar,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.4086,Estimate.
450,Madagascar,2005,All staff compensation as % of total expenditure in public institutions (%),43.8138,Estimate.
450,Madagascar,2005,Capital expenditure as % of total expenditure in public institutions (%),31.7778,
450,Madagascar,2005,Expenditure by level of education: primary (as % of government expenditure),57.3064,
450,Madagascar,2005,Expenditure by level of education: secondary (as % of government expenditure),18.9232,
450,Madagascar,2005,Expenditure by level of education: tertiary (as % of government expenditure),10.0866,
450,Madagascar,2005,Government expenditure on education (% of government expenditure),18.033,
450,Madagascar,2005,Public expenditure on education (% of GDP),3.8482,
450,Madagascar,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.2504,
450,Madagascar,2008,All staff compensation as % of total expenditure in public institutions (%),58.7228,
450,Madagascar,2008,Capital expenditure as % of total expenditure in public institutions (%),10.0269,
450,Madagascar,2008,Expenditure by level of education: pre-primary (as % of government expenditure),0.441,
450,Madagascar,2008,Expenditure by level of education: primary (as % of government expenditure),53.572,
450,Madagascar,2008,Expenditure by level of education: secondary (as % of government expenditure),22.0792,
450,Madagascar,2008,Expenditure by level of education: tertiary (as % of government expenditure),15.3615,
450,Madagascar,2008,Government expenditure on education (% of government expenditure),16.2581,
450,Madagascar,2008,Public expenditure on education (% of GDP),2.9104,
450,Madagascar,2009,Expenditure by level of education: pre-primary (as % of government expenditure),0.2524,
450,Madagascar,2009,Expenditure by level of education: primary (as % of government expenditure),52.2821,
450,Madagascar,2009,Expenditure by level of education: secondary (as % of government expenditure),18.2015,
450,Madagascar,2009,Expenditure by level of education: tertiary (as % of government expenditure),15.3879,
450,Madagascar,2009,Government expenditure on education (% of government expenditure),22.5858,
450,Madagascar,2009,Public expenditure on education (% of GDP),3.1775,
450,Madagascar,2012,Capital expenditure as % of total expenditure in public institutions (%),4.5884,Estimate.
450,Madagascar,2012,Expenditure by level of education: pre-primary (as % of government expenditure),0.2088,
450,Madagascar,2012,Expenditure by level of education: primary (as % of government expenditure),47.3518,
450,Madagascar,2012,Expenditure by level of education: secondary (as % of government expenditure),19.3449,
450,Madagascar,2012,Expenditure by level of education: tertiary (as % of government expenditure),15.1997,
450,Madagascar,2012,Government expenditure on education (% of government expenditure),20.3258,
450,Madagascar,2012,Public expenditure on education (% of GDP),2.7322,
450,Madagascar,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.5472,
450,Madagascar,2013,All staff compensation as % of total expenditure in public institutions (%),67.3773,
450,Madagascar,2013,Capital expenditure as % of total expenditure in public institutions (%),3.0754,
450,Madagascar,2013,Government expenditure on education (% of government expenditure),13.9894,
450,Madagascar,2013,Public expenditure on education (% of GDP),2.0823,
450,Madagascar,2015,Expenditure by level of education: tertiary (as % of government expenditure),0.0063,Estimate.
450,Madagascar,2015,Government expenditure on education (% of government expenditure),16.9629,Estimate.
450,Madagascar,2015,Public expenditure on education (% of GDP),2.5682,Estimate.
450,Madagascar,2017,Expenditure by level of education: tertiary (as % of government expenditure),0.0058,Estimate.
450,Madagascar,2018,Government expenditure on education (% of government expenditure),19.8182,Estimate.
450,Madagascar,2018,Public expenditure on education (% of GDP),3.2348,Estimate.
454,Malawi,2001,Expenditure by level of education: primary (as % of government expenditure),45.2254,
454,Malawi,2001,Expenditure by level of education: secondary (as % of government expenditure),22.4952,
454,Malawi,2001,Expenditure by level of education: tertiary (as % of government expenditure),15.2532,
454,Malawi,2001,Public expenditure on education (% of GDP),4.509,
454,Malawi,2003,Expenditure by level of education: primary (as % of government expenditure),54.9243,
454,Malawi,2003,Expenditure by level of education: secondary (as % of government expenditure),21.1063,
454,Malawi,2003,Government expenditure on education (% of government expenditure),16.5526,
454,Malawi,2003,Public expenditure on education (% of GDP),3.2157,
454,Malawi,2010,Capital expenditure as % of total expenditure in public institutions (%),4.949,
454,Malawi,2010,Expenditure by level of education: pre-primary (as % of government expenditure),0.0244,
454,Malawi,2010,Expenditure by level of education: primary (as % of government expenditure),34.7604,
454,Malawi,2010,Expenditure by level of education: secondary (as % of government expenditure),24.0901,
454,Malawi,2010,Expenditure by level of education: tertiary (as % of government expenditure),29.7982,
454,Malawi,2010,Government expenditure on education (% of government expenditure),12.518,
454,Malawi,2010,Public expenditure on education (% of GDP),3.5398,
454,Malawi,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.5065,
454,Malawi,2013,All staff compensation as % of total expenditure in public institutions (%),71.6917,
454,Malawi,2013,Capital expenditure as % of total expenditure in public institutions (%),13.8019,
454,Malawi,2013,Expenditure by level of education: pre-primary (as % of government expenditure),0.0292,
454,Malawi,2013,Expenditure by level of education: primary (as % of government expenditure),36.736,
454,Malawi,2013,Expenditure by level of education: secondary (as % of government expenditure),24.4351,
